image_id,image_path,caption_1,caption_2,caption_3,caption_4,caption_5,caption_generado
img_00000,/app/MCC225/Semana7/data/processed/images/imagen_00000.jpg,A black dog is running after a white dog in the snow .,Black dog chasing brown dog through snow,Two dogs chase each other across the snowy ground .,Two dogs play together in the snow .,Two dogs running through a low lying body of water .,two dogs running in the snow near a rock
img_00001,/app/MCC225/Semana7/data/processed/images/imagen_00001.jpg,A little baby plays croquet .,A little girl plays croquet next to a truck .,The child is playing croquette by the truck .,The kid is in front of a car with a put and a ball .,The little boy is playing with a croquet hammer and ball beside the car .,a little boy playing with a baseball bat
img_00002,/app/MCC225/Semana7/data/processed/images/imagen_00002.jpg,A brown dog in the snow has something hot pink in its mouth .,A brown dog in the snow holding a pink hat .,A brown dog is holding a pink shirt in the snow .,A dog is carrying something pink in its mouth while walking through the snow .,A dog with something pink in its mouth is looking forward .,a dog with a pink fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr
img_00003,/app/MCC225/Semana7/data/processed/images/imagen_00003.jpg,A brown dog is running along a beach .,A brown dog wearing a black collar running across the beach .,A dog walks on the sand near the water .,Brown dog running on the beach .,The large brown dog is running on the beach by the ocean .,a dog running on a beach
img_00004,/app/MCC225/Semana7/data/processed/images/imagen_00004.jpg,A black and white dog with a red Frisbee standing on a sandy beach .,A dog drops a red disc on a beach .,A dog with a red Frisbee flying in the air .,Dog catching a red Frisbee .,The black dog is dropping a red disc on a beach .,a dog with a fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr
img_00005,/app/MCC225/Semana7/data/processed/images/imagen_00005.jpg,A cyclist wearing a red helmet is riding on the pavement .,A girl is riding a bike on the street while wearing a red helmet .,"A person on a bike wearing a red helmet , riding down a street .",A woman wears a red helmet and blue shirt as she goes for a bike ride in the shade .,Person in blue shirt and red helmet riding bike down the road,a man riding a bike down a road
img_00006,/app/MCC225/Semana7/data/processed/images/imagen_00006.jpg,A man dressed in a purple shirt and red bandanna smiles at the people watching him .,A man on the street wearing leather chaps and a chainmail codpiece .,A man wearing a purple shirt and black leather chaps poses for the camera .,Man dressed in leather chaps and purple shirt stands in front of onlookers,"There is a man in a purple shirt , leather chaps and a red bandanna , standing near other men .",a man in a purple shirt and black pants
img_00007,/app/MCC225/Semana7/data/processed/images/imagen_00007.jpg,A boy wearing a red t-shirt is running through woodland .,A child runs near some trees .,A young boy is dancing around .,A young boy with a red short sleeved shirt and jeans runs by some trees .,The little boy in the red shirt stops to smile for the camera .,a little boy running through the woods
img_00008,/app/MCC225/Semana7/data/processed/images/imagen_00008.jpg,A girl in a white dress .,A little girl in white is looking back at the camera while carrying a water grenade .,A smiling young girl in braids is playing ball .,A young girl wearing white looks at the camera as she plays .,The girl is holding a green ball .,a little girl in a white dress playing with a ball
img_00009,/app/MCC225/Semana7/data/processed/images/imagen_00009.jpg,A skier in a yellow jacket is airborne above the mountains .,A skier jumps high in the air with a view of the mountains .,A skiing man in a fluorescent jacket jumps very high and it looks as though he is flying .,Somone is high in the air doing a ski jump .,The skier in the green jacket and white pants appears to almost fly into the sky .,a skier in the air
img_00010,/app/MCC225/Semana7/data/processed/images/imagen_00010.jpg,A photographer looks over the hills .,A woman in a red jacket is videotaping a natural landscape .,A woman with a camera looks out over rolling hills .,A woman with a camera on a tripod is looking at the view .,Lady in red shirt has her camera set up in the field to record something .,a woman in red jacket looking through a telescope
img_00011,/app/MCC225/Semana7/data/processed/images/imagen_00011.jpg,A bunch of girls in cheerleader outfits .,a large group of cheerleaders walking in a parade,Cheerleaders perform .,"many cheerleaders wearing black , walk down the street .","Parade of cheerleaders wearing black , pink and white uniforms .",the cheer team performs during the parade
img_00012,/app/MCC225/Semana7/data/processed/images/imagen_00012.jpg,A blue boat with a yellow canopy is floating on calm waters .,A boat in the water .,A boat with a roof on green water .,The boat is in the middle of the water .,The solitude boat floats on the lake .,a boat in the water
img_00013,/app/MCC225/Semana7/data/processed/images/imagen_00013.jpg,A dog catches a Frisbee in midair .,A dog catching a Frisbee .,A terrier mix catches a Frisbee in the air .,A white and black dog catching a Frisbee .,A white dog is leaping in the air with a green object in its mouth .,a dog jumping in the air
img_00014,/app/MCC225/Semana7/data/processed/images/imagen_00014.jpg,A little old lady sitting next to an advertisement .,An Asian woman waiting at an underground train stop .,An old woman sits in a transit station next to a backlit advertisement .,A woman sits in a subway station .,"A woman with an umbrella is sitting at a station , with an Aquos commercial on the wall .",a girl sitting in the train station
img_00015,/app/MCC225/Semana7/data/processed/images/imagen_00015.jpg,A blond girl wearing a green jacket walks on a trail along side a metal fence .,A girl in a green coat walks down a rural road playing a flute,A young girl in a parka playing a flute while walking by a fenced in field .,Girl in green and blue jacket walking past an enclosed field .,Girl playing flute as she walks by fence in rural area .,a woman walking down a path in a field
img_00016,/app/MCC225/Semana7/data/processed/images/imagen_00016.jpg,"A family of nine people , including four children , pose in front of a brick fireplace with a white mantle .",A family poses in front of the fireplace and Christmas tree .,A family posing by the mantle and christmas tree .,A happy family poses by the fireplace .,Two couples and four kids pose for a family picture .,a family sitting on a couch in front of a christmas tree
img_00017,/app/MCC225/Semana7/data/processed/images/imagen_00017.jpg,Man in a sweater pointing at the camera .,One man is posing with arms outstretched and finger pointed while another stares from behind him .,The man in the black hat stands behind the man who is pointing his finger .,"Two men look toward the camera , while the one in front points his index finger .","Two men , one wearing a black hat while the one in front points , standing in a hallway .",a man pointing at a woman
img_00018,/app/MCC225/Semana7/data/processed/images/imagen_00018.jpg,A dog looks warily at the brown dog investigating his area .,A large brown dog is looking at a medium sized black dog .,A small black dog looks at a larger brown dog in a grassy field .,The big brown dog looks at the small black dog in tall grass .,There is a big dog looking at a little dog .,two dogs playing in the grass
img_00019,/app/MCC225/Semana7/data/processed/images/imagen_00019.jpg,three children in a field with white flowers,"Three children , one with a stuffed kitten , in a field of flowers .",three children play in the garden .,Three children pose among wildflowers .,Three kids palying with a toy cat in a garden .,three children are in a garden with flowers
